Year,State,Offense,SubCat,TrueCount,Unfounded,Cleared,JuvCleared
2018,Kentucky,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Kentucky,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,2,1,1,0
2019,Texas,Human Trafficking,Commercial Sex Acts,6,0,1,0
2020,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Arizona,Human Trafficking,Commercial Sex Acts,3,0,1,1
2018,Arizona,Human Trafficking,Commercial Sex Acts,3,0,0,0
2018,Arizona,Human Trafficking,Commercial Sex Acts,4,0,1,0
2018,Arizona,Human Trafficking,Commercial Sex Acts,6,0,2,1
2018,Arizona,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Hawaii,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Ohio,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Illinois,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,North Dakota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Washington,Human Trafficking,Commercial Sex Acts,3,0,3,0
2019,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Washington,Human Trafficking,Involuntary Servitude,4,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Washington,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Ohio,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,North Carolina,Human Trafficking,Involuntary Servitude,2,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,6,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,4,0,10,0
2020,Ohio,Human Trafficking,Commercial Sex Acts,2,0,2,0
2020,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2017,Wisconsin,Human Trafficking,Involuntary Servitude,3,0,1,0
2017,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Wisconsin,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Wisconsin,Human Trafficking,Commercial Sex Acts,4,0,0,0
2018,Wisconsin,Human Trafficking,Commercial Sex Acts,3,0,1,0
2019,Wisconsin,Human Trafficking,Commercial Sex Acts,3,0,3,0
2019,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Ohio,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Ohio,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,8,0,0,0
2018,Texas,Human Trafficking,Involuntary Servitude,2,0,0,0
2018,Massachusetts,Human Trafficking,Commercial Sex Acts,3,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,4,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,1
2018,Texas,Human Trafficking,Commercial Sex Acts,5,0,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,4,0,2,0
2018,Texas,Human Trafficking,Commercial Sex Acts,3,0,3,0
2019,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2019,Texas,Human Trafficking,Commercial Sex Acts,18,0,10,0
2019,Texas,Human Trafficking,Commercial Sex Acts,4,0,2,0
2019,Texas,Human Trafficking,Commercial Sex Acts,4,0,1,0
2019,Texas,Human Trafficking,Involuntary Servitude,2,0,2,0
2019,Texas,Human Trafficking,Commercial Sex Acts,4,0,2,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,5,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,4,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,5,0,3,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Wisconsin,Human Trafficking,Commercial Sex Acts,8,0,5,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Kentucky,Human Trafficking,Involuntary Servitude,2,0,0,0
2018,Hawaii,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Washington,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Nevada,Human Trafficking,Involuntary Servitude,3,0,3,0
2020,Nevada,Human Trafficking,Commercial Sex Acts,17,0,6,0
2020,Nevada,Human Trafficking,Commercial Sex Acts,7,0,3,0
2020,Nevada,Human Trafficking,Commercial Sex Acts,9,0,8,0
2020,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,11,0,2,0
2018,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,6,0,3,1
2018,Texas,Human Trafficking,Commercial Sex Acts,8,0,2,2
2019,Texas,Human Trafficking,Commercial Sex Acts,13,0,11,0
2019,Texas,Human Trafficking,Commercial Sex Acts,25,0,4,0
2019,Texas,Human Trafficking,Commercial Sex Acts,12,0,6,0
2019,Texas,Human Trafficking,Commercial Sex Acts,14,0,8,0
2019,Texas,Human Trafficking,Commercial Sex Acts,13,0,7,0
2019,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,North Dakota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,New Hampshire,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Texas,Human Trafficking,Involuntary Servitude,2,0,1,0
2018,Minnesota,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,2,0,1,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Connecticut,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,2,0,1,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Oklahoma,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Oklahoma,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,2,0,2,0
2019,Virginia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Indiana,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Indiana,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,Indiana,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Indiana,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Virginia,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Massachusetts,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,New Mexico,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Montana,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,North Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2018,Massachusetts,Human Trafficking,Involuntary Servitude,1,0,1,0
2018,Massachusetts,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,South Carolina,Human Trafficking,Commercial Sex Acts,4,0,1,0
2017,South Carolina,Human Trafficking,Involuntary Servitude,1,0,1,0
2017,South Carolina,Human Trafficking,Commercial Sex Acts,4,0,0,0
2019,Louisiana,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,South Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,New Mexico,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,New Mexico,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,New Mexico,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Georgia,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Georgia,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Georgia,Human Trafficking,Commercial Sex Acts,4,0,1,0
2020,Georgia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,1
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Michigan,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Indiana,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Indiana,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Michigan,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Colorado,Human Trafficking,Commercial Sex Acts,3,0,0,0
2018,Colorado,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Michigan,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Washington,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Tennessee,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Missouri,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Missouri,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Illinois,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Illinois,Human Trafficking,Involuntary Servitude,2,0,0,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,North Carolina,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Indiana,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Indiana,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2014,Colorado,Human Trafficking,Commercial Sex Acts,4,0,4,0
2014,Illinois,Human Trafficking,Commercial Sex Acts,2,0,0,0
2014,Illinois,Human Trafficking,Involuntary Servitude,1,0,0,0
2014,Alaska,Human Trafficking,Commercial Sex Acts,1,0,0,0
2014,Arizona,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Nevada,Human Trafficking,Commercial Sex Acts,18,0,4,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,3,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Nevada,Human Trafficking,Commercial Sex Acts,19,0,4,0
2015,Oklahoma,Human Trafficking,Involuntary Servitude,1,0,1,0
2015,Oklahoma,Human Trafficking,Commercial Sex Acts,13,0,12,0
2015,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Oklahoma,Human Trafficking,Commercial Sex Acts,3,0,3,0
2015,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Texas,Human Trafficking,Involuntary Servitude,2,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,4,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,2,0,2,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,3,0,0,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Arizona,Human Trafficking,Involuntary Servitude,1,0,1,0
2018,Delaware,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,4,0,4,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Ohio,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Wisconsin,Human Trafficking,Commercial Sex Acts,3,0,3,0
2017,Wisconsin,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,Oklahoma,Human Trafficking,Commercial Sex Acts,2,0,2,0
2019,Oklahoma,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Missouri,Human Trafficking,Involuntary Servitude,1,0,1,0
2019,Missouri,Human Trafficking,Commercial Sex Acts,5,0,5,0
2019,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,South Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,Nevada,Human Trafficking,Commercial Sex Acts,14,0,4,0
2020,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,North Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2019,North Carolina,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,North Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Michigan,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,North Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,North Carolina,Human Trafficking,Involuntary Servitude,2,0,1,0
2019,North Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,North Carolina,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,North Carolina,Human Trafficking,Involuntary Servitude,3,0,0,0
2020,South Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,North Dakota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Oregon,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Wyoming,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,1,0
2015,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Missouri,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Nevada,Human Trafficking,Commercial Sex Acts,21,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,3,0,1,0
2015,Texas,Human Trafficking,Involuntary Servitude,11,1,1,0
2015,Texas,Human Trafficking,Involuntary Servitude,3,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,3,0,0,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Illinois,Human Trafficking,Commercial Sex Acts,2,0,0,0
2015,Maryland,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Ohio,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,2,0,1,0
2015,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Colorado,Human Trafficking,Involuntary Servitude,2,0,0,0
2015,Maryland,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,14,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,3,0,3,0
2015,Nevada,Human Trafficking,Commercial Sex Acts,18,0,5,0
2015,Nevada,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,South Carolina,Human Trafficking,Commercial Sex Acts,4,0,2,0
2015,South Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Washington,Human Trafficking,Commercial Sex Acts,2,0,1,0
2015,Colorado,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,1,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2015,Nevada,Human Trafficking,Involuntary Servitude,1,0,0,0
2015,Nevada,Human Trafficking,Commercial Sex Acts,16,0,4,0
2015,Ohio,Human Trafficking,Commercial Sex Acts,2,0,2,0
2015,Oklahoma,Human Trafficking,Commercial Sex Acts,3,0,3,0
2015,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Maryland,Human Trafficking,Commercial Sex Acts,1,0,1,0
2016,Missouri,Human Trafficking,Commercial Sex Acts,1,0,1,1
2016,Alaska,Human Trafficking,Commercial Sex Acts,2,0,2,0
2016,Arizona,Human Trafficking,Commercial Sex Acts,3,0,0,0
2016,Arizona,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Colorado,Human Trafficking,Commercial Sex Acts,3,0,0,0
2016,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Connecticut,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Connecticut,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Oklahoma,Human Trafficking,Commercial Sex Acts,1,0,1,0
2016,Oklahoma,Human Trafficking,Commercial Sex Acts,4,0,4,1
2016,Rhode Island,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,South Carolina,Human Trafficking,Commercial Sex Acts,2,0,0,0
2016,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2016,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Texas,Human Trafficking,Commercial Sex Acts,2,0,0,0
2016,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
2017,Connecticut,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Illinois,Human Trafficking,Commercial Sex Acts,1,0,0,0
2016,Minnesota,Human Trafficking,Commercial Sex Acts,5,0,5,0
2016,Minnesota,Human Trafficking,Commercial Sex Acts,7,0,7,0
2016,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,1,1
2016,Minnesota,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Indiana,Human Trafficking,Involuntary Servitude,3,0,0,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Colorado,Human Trafficking,Commercial Sex Acts,7,0,0,0
2020,Virginia,Human Trafficking,Commercial Sex Acts,1,0,1,0
2020,Michigan,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Michigan,Human Trafficking,Commercial Sex Acts,3,0,0,0
2020,West Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,West Virginia,Human Trafficking,Commercial Sex Acts,2,0,0,0
2020,West Virginia,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Mississippi,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Kentucky,Human Trafficking,Involuntary Servitude,3,0,0,0
2018,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,1,0
2018,Kentucky,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Florida,Human Trafficking,Involuntary Servitude,6,0,0,0
2018,Florida,Human Trafficking,Commercial Sex Acts,5,5,1,0
2018,Texas,Human Trafficking,Commercial Sex Acts,4,0,2,0
2018,Texas,Human Trafficking,Involuntary Servitude,1,1,0,0
2018,Texas,Human Trafficking,Commercial Sex Acts,2,1,1,0
2017,South Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Colorado,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Wisconsin,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Rhode Island,Human Trafficking,Commercial Sex Acts,1,0,0,0
2020,Texas,Human Trafficking,Involuntary Servitude,3,0,3,0
2019,North Carolina,Human Trafficking,Involuntary Servitude,1,0,0,0
2013,Tennessee,Human Trafficking,Involuntary Servitude,1,0,1,0
2013,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Connecticut,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Michigan,Human Trafficking,Commercial Sex Acts,6,0,6,0
2019,North Carolina,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,3,0,3,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,2,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,4,0,0,0
2018,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,1,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,1,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2017,Tennessee,Human Trafficking,Commercial Sex Acts,3,0,1,1
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,1,0,0,0
2019,Tennessee,Human Trafficking,Commercial Sex Acts,2,0,1,0
2016,Texas,Human Trafficking,Involuntary Servitude,1,0,1,0
2016,Minnesota,Human Trafficking,Commercial Sex Acts,2,0,2,0
2016,Texas,Human Trafficking,Involuntary Servitude,1,0,0,0
